product_title,product_id,product_price,product_rating,product_colors,product_site
Visconti Opera Master Fountain Pen - Stargazer (Limited Edition) - The Goulet Pen Company,VI-KP28-11-FP-EF,956.00,,"Combustion,Stargazer",gouletpens.com
Diplomat Nexus Demo Fountain Pen - Black/Silver - The Goulet Pen Company,DP-D40553021,316.00,4.9,"Demo Black,Demo Blue,Black/Gold,Black/Silver,Blue/Gold,Blue/Silver",gouletpens.com
Sailor CYLINT Fountain Pen - Patina - The Goulet Pen Company,SL-10-5055-288,552.00,5.0,"Black,Patina",gouletpens.com
Tibaldi Bononia Fountain Pen - Bora Bora - The Goulet Pen Company,TB-BNN-18FP-EF,206.00,,"Bora Bora,Pearl Mist",gouletpens.com
Visconti Rembrandt S Fountain Pen - Blue - The Goulet Pen Company,VI-KP10-26-FP-F,175.20,,"Black,Blue,Bordeaux,Lilac",gouletpens.com
Visconti Opera Gold Fountain Pen - Black - The Goulet Pen Company,VI-KP42-03-FP-F,348.00,,"Black,Blue,Red",gouletpens.com
Maiora Ogiva Fountain Pen - Blue - The Goulet Pen Company,MA-NE78129-F,316.00,4.9,"Blue,Brown,Orange",gouletpens.com
Edison Beaumont Fountain Pen - River's Edge - The Goulet Pen Company,ED-Beaumont-RiversEdge-F,149.00,,"Moonbreaker,River's Edge",gouletpens.com
Schon DSGN Faceted Pocket Six Fountain Pen - Bismuth Crystal - The Goulet Pen Company,SC-03-FP6-Bismuth-EF,260.00,,,gouletpens.com
Namiki Chinkin Fountain Pen - Cherry Blossoms - The Goulet Pen Company,PN16833,"1,300.00",,,gouletpens.com
Esterbrook Camden Fountain Pen - Manitoba Blue (Limited Edition) - The Goulet Pen Company,ES-ENLMB976-EF,315.00,,"Icelandic Green,Manitoba Blue,Silver",gouletpens.com
Sailor 1911S Fountain Pen - Violet Jellyfish - The Goulet Pen Company,SL-11-8747-250,260.00,5.0,"Black/Gold,Freshwater Jellyfish,Fried Egg,OhWan Jellyfish,Sea Nettle,Clear/Gold,Violet Jellyfish,Wicked Witch of the West,Golden Olive",gouletpens.com
Monteverde Ritma Fountain Pen - Walnut - The Goulet Pen Company,MV45421,48.00,4.9,"Black,Espresso,Green,Walnut",gouletpens.com
Namiki Yukari Maki-e Fountain Pen - Grapevine - The Goulet Pen Company,PN60513,"1,700.00",,,gouletpens.com
Sailor 1911 King of Pens Ebonite Fountain Pen - Black/Silver - The Goulet Pen Company,SL-11-9704-420,950.00,5.0,"Black/Gold Ebonite,Black/Silver Ebonite,Black/Gold,,Tamenuri Murasaki",gouletpens.com
Diplomat Nexus Fountain Pen - Blue/Gold - The Goulet Pen Company,DP-D40504013,636.00,4.9,"Demo Black,Demo Blue,Black/Gold,Black/Silver,Blue/Gold,Blue/Silver",gouletpens.com
Sailor CYLINT Fountain Pen - Black Stainless Steel - The Goulet Pen Company,SL-10-5070-228,552.00,5.0,"Black,Patina",gouletpens.com
